Location,Price Tier
Rookwood      ,5
Rookwood Roast     ,5
Roseville      ,5
Round Rock     ,5
Round Rock Roast    ,5
Salinas      ,5
San Antonio     ,5
San Antonio Roast    ,5
San Bernardino     ,5
San Bernardino Roast    ,5
San Bruno     ,5
San Jose     ,5
San Jose Marketcenter    ,5
San Mateo     ,5
San Rafael     ,5
Santa Rosa     ,5
Shackleford Crossing     ,5
Shackleford Crossing Roast    ,5
Shenandoah      ,5
Shenandoah Roast     ,5
Slidell      ,5
Slidell Roast     ,5
South Hills     ,5
Southcenter Mall     ,5
Southlake      ,5
Southlake Roast     ,5
Sparks      ,5
Sterling Heights     ,5
Sterling Heights Roast    ,5
Stockton      ,5
Sugar Land     ,5
Sugarland Roast     ,5
Summerlin      ,5
Sunset Valley     ,5
Sunset Valley Roast    ,5
Tacoma      ,5
Tallahassee      ,5
Tallahassee Thighway     ,5
Taylor      ,5
Taylor Roast     ,5
Temecula      ,5
Temecula Roast     ,5
Temple      ,5
Temple Roast     ,5
Test Lab     ,5
Test Lab Fiji    ,5
Test Lab Paris    ,5
Test Lab Thighway    ,5
Teterboro      ,5
The Rim     ,5
The Rim Roast    ,5
Toledo      ,5
Toledo Roast     ,5
Toms River     ,5
Towson      ,5
Tri-County Mall     ,5
Tri-County Mall Roast    ,5
Tucson Broadway     ,5
Tucson Broadway Roast    ,5
Tucson Oracle     ,5
Tucson Oracle Roast    ,5
Tulsa      ,5
Tulsa n/a     ,5
Tulsa Roast     ,5
Tuttle Crossing     ,5
Tuttle Crossing Roast    ,5
Tyler      ,5
Tyler Roast     ,5
Vacaville      ,5
Valencia      ,5
Valley River     ,5
Valley Stream     ,5
Victorville      ,5
Victorville Roast     ,5
Vienna      ,5
Vienna Roast     ,5
Virginia Gateway     ,5
Virginia Gateway Roast    ,5
Waco      ,5
Waco Roast     ,5
Warwick      ,5
Wesley Chapel     ,5
Wesley Chapel Thighway    ,5
West Covina     ,5
West Covina Roast    ,5
Westlake Village     ,5
Westlake Village Roast    ,5
Westminster      ,5
Westwood      ,5
Wichita      ,5
Willowbrook      ,5
Willowbrook Roast     ,5
Winston Salem     ,5
Woodland Hills     ,5
Woodland Hills Roast    ,5
Youngstown      ,5
Youngstown Roast     ,5
Roast      ,5
Roast 2     ,5
Roast Lab     ,5
