1,243,North Attleboro     
1,189,North Little Rock    
1,394,North Little Rock Roast   
1,219,North Olmsted     
1,355,North Olmsted Roast    
1,139,OKC Outlets     
1,342,OKC Outlets Roast    
1,80,Oklahoma City     
1,324,Oklahoma City Roast    
1,244,Orange Village     
1,363,Orange Village Roast    
1,397,Orland Park     
1,41,Outlets at Orange    
1,282,Outlets at Orange Thighway   
1,157,Oviedo      
1,85,Oxmoor Center Mall    
1,284,Oxmoor Center Mall Roast   
1,17,Oxnard      
1,262,Oxnard Roast     
1,155,Palm Beach Fashion Mall   
1,26,Palmdale      
1,38,Pasadena      
1,257,Pasadena Roast     
1,93,Pearland      
1,270,Pearland Roast     
1,115,Pembroke Pines     
1,298,Pembroke Pines Thighway    
1,201,Pensacola      
1,304,Pensacola Thighway     
1,86,Peoria      
1,386,Peoria Roast     
1,76,Pinellas Park     
1,295,Pinellas Park Thighway    
1,60,Plano      
1,319,Plano Roast     
1,75,Polaris      
1,321,Polaris Roast     
1,36,Puente Hills     
1,379,Puente Hills Roast    
1,137,Puyallup      
1,4,Rancho Cucamonga     
1,260,Rancho Cucamonga Roast    
1,37,Rancho Santa Margarita    
1,256,Rancho Santa Margarita Roast   
1,136,Redmond      
1,72,Reno      
1,160,Richmond      
1,400,Richmond Roast     
1,399,Rochester      
1,408,Rochester Roast     
1,234,Rookwood      
1,291,Rookwood Roast     
1,58,Roseville      
1,125,Round Rock     
1,338,Round Rock Roast    
1,126,Salinas      
1,92,San Antonio     
1,328,San Antonio Roast    
1,20,San Bernardino     
1,251,San Bernardino Roast    
1,61,San Bruno     
1,54,San Jose     
1,149,San Jose Marketcenter    
1,5,San Mateo     
1,102,San Rafael     
1,123,Santa Rosa     
1,152,Shackleford Crossing     
1,389,Shackleford Crossing Roast    
1,110,Shenandoah      
1,273,Shenandoah Roast     
1,164,Slidell      
1,390,Slidell Roast     
1,209,South Hills     
1,91,Southcenter Mall     
1,173,Southlake      
1,348,Southlake Roast     
1,109,Sparks      
1,236,Sterling Heights     
1,293,Sterling Heights Roast    
1,78,Stockton      
1,62,Sugar Land     
1,268,Sugarland Roast     
1,56,Summerlin      
1,84,Sunset Valley     
1,326,Sunset Valley Roast    
1,95,Tacoma      
1,148,Tallahassee      
1,303,Tallahassee Thighway     
1,229,Taylor      
1,289,Taylor Roast     
1,24,Temecula      
1,373,Temecula Roast     
1,83,Temple      
1,325,Temple Roast     
1,6,Test Lab     
1,307,Test Lab Fiji    
1,205,Test Lab Paris    
1,276,Test Lab Thighway    
1,211,Teterboro      
1,105,The Rim     
1,332,The Rim Roast    
1,235,Toledo      
1,292,Toledo Roast     
1,237,Toms River     
1,175,Towson      
1,82,Tri-County Mall     
1,283,Tri-County Mall Roast    
1,107,Tucson Broadway     
1,388,Tucson Broadway Roast    
1,63,Tucson Oracle     
1,383,Tucson Oracle Roast    
1,240,Tulsa      
1,241,Tulsa n/a     
1,362,Tulsa Roast     
1,119,Tuttle Crossing     
1,336,Tuttle Crossing Roast    
1,112,Tyler      
1,334,Tyler Roast     
1,66,Vacaville      
1,11,Valencia      
1,141,Valley River     
1,212,Valley Stream     
1,197,Victorville      
1,258,Victorville Roast     
1,138,Vienna      
1,341,Vienna Roast     
1,151,Virginia Gateway     
1,344,Virginia Gateway Roast    
1,122,Waco      
1,337,Waco Roast     
1,230,Warwick      
1,213,Wesley Chapel     
1,305,Wesley Chapel Thighway    
1,15,West Covina     
1,249,West Covina Roast    
1,18,Westlake Village     
1,250,Westlake Village Roast    
1,67,Westminster      
1,48,Westwood      
1,129,Wichita      
1,55,Willowbrook      
1,267,Willowbrook Roast     
1,198,Winston Salem     
1,12,Woodland Hills     
1,248,Woodland Hills Roast    
1,224,Youngstown      
1,358,Youngstown Roast     
1,245,Roast      
1,246,Roast 2     
1,247,Roast Lab     
